cycle_id	cycle_start_time_s	charge_start_time_s	cycle_duration_s	battery_pct_at_cycle_start	battery_pct_at_25	battery_pct_at_charge_start	battery_used_until_charge	guests_this_cycle	columns_this_cycle	guests_after_25	columns_after_25	time_battery_hit_25_s	distance_to_recharge_at_25_m	distance_traveled_this_cycle_m	distance_traveled_after_25_m	time_from_25_to_charge_s
0	0.0	20.295	20.295	0.9997598528862		1.0	-0.00024014711380004883	0	0	0	0			131.22727811215628	0.0	
1	20.506	22.579	2.0730000000000004	0.9997680187225342		0.9996448755264282	0.00012314319610595703	0	0	0	0			130.12109962951297	0.0	
2	22.807000000000002	23.072000000000003	0.26500000000000057	0.9999960064888		1.0	-3.993511199951172e-06	0	0	0	0			8.041045501903135	0.0	
3	23.265	23.461000000000002	0.1960000000000015	0.9999123811721802		1.0	-8.761882781982422e-05	0	0	0	0			0.0	0.0	
4	23.658	23.876	0.21799999999999997	0.9999138712882996		1.0	-8.612871170043945e-05	0	0	0	0			0.0	0.0	
5	24.068	24.267000000000003	0.19900000000000162	0.9999064207077026		1.0	-9.357929229736328e-05	0	0	0	0			0.0	0.0	
6	24.523000000000003	24.720000000000002	0.19699999999999918	0.9999127984046936		1.0	-8.720159530639648e-05	0	0	0	0			0.0	0.0	
7	24.947000000000003	25.144000000000002	0.19699999999999918	0.9999135732650757		1.0	-8.64267349243164e-05	0	0	0	0			0.0	0.0	
8	25.339000000000002	25.553	0.21399999999999864	0.9999111294746399		1.0	-8.887052536010742e-05	0	0	0	0			0.0	0.0	
9	25.784000000000002	25.996000000000002	0.21199999999999974	0.9999091029167175		1.0	-9.08970832824707e-05	0	0	0	0			0.0	0.0	
10	26.202	26.431	0.2289999999999992	0.9999085664749146		1.0	-9.143352508544922e-05	0	0	0	0			0.0	0.0	
11	26.629	26.817	0.18799999999999883	0.9999027848243713		1.0	-9.721517562866211e-05	0	0	0	0			0.0	0.0	
12	27.072000000000003	27.256	0.1839999999999975	0.9999138712882996		1.0	-8.612871170043945e-05	0	0	0	0			3.0207639943293696	0.0	
13	27.503	28.44	0.9370000000000012	0.9997847080230713		1.0	-0.00021529197692871094	0	0	0	0			154.22140077897362	0.0	
14	28.634	1144.044	1115.41	0.9997820258140564	0.24991987645626068	0.17762623727321625	0.8221557885408401	0	0	0	0	1039.556	7.438639260900581	118807.41916122689	12281.537221611266	104.48800000000006
15	1144.248	1144.479	0.23099999999999454	0.1773230880498886	0.1771695464849472	0.17740315198898315	-8.006393909454346e-05	0	0	0	0	1144.249	0.5358066610819768	31.126959840182607	31.124609453750207	0.2300000000000182
16	1144.832	1145.114	0.2819999999999254	0.18176153302192688	0.18165087699890137	0.1824900507926941	-0.0007285177707672119	0	0	0	0	1144.833	0.5029508846956795	13.983235960023533	13.901059302075431	0.28099999999994907
17	1210.1090000000002	1210.355	0.2459999999998672	0.9846550226211548		0.9852325320243835	-0.0005775094032287598	0	0	0	0			12.709719743571645	0.0	
18	1210.546	2325.387	1114.8410000000001	0.9850390553474426	0.24997420608997345	0.1578194797039032	0.8272195756435394	0	0	0	0	2213.895	17.259469732122867	126097.59697971589	19865.905675348007	111.49200000000019
19	2392.0460000000003	2392.252	0.20599999999967622	0.9822070002555847		0.9860023856163025	-0.0037953853607177734	0	0	0	0			9.841910362089195	0.0	
20	2392.485	3521.4240000000004	1128.9390000000003	0.989630937576294	0.2499520629644394	0.1680833101272583	0.8215476274490356	0	0	0	0	3413.0240000000003	12.369871571985218	132944.14101220007	14553.375183308955	108.40000000000009
21	3521.695	3521.9610000000002	0.2660000000000764	0.17178601026535034	0.17157410085201263	0.1723642796278	-0.000578269362449646	0	0	0	0	3521.6960000000004	0.5164030014104459	39.14169511066743	38.9873349927036	0.26499999999987267
22	3587.9840000000004	3588.2200000000003	0.2359999999998763	0.9834204316139221		0.987249493598938	-0.003829061985015869	0	0	0	0			11.366591933004976	0.0	
